N,Beta,Tol,Tau_Mix
9,2.0,1e-05,-4411.254357297174
9,2.0,1e-06,-4411.254357297174
9,2.0,1e-07,7528.747591726433
9,2.0,1e-08,7528.747591726433
9,5.0,1e-05,-2575.9356322468366
9,5.0,1e-06,-2575.9356322468366
9,5.0,1e-07,-4516.774602838074
9,5.0,1e-08,-5072.121383314537
9,10.0,1e-05,-6871.622347032269
9,10.0,1e-06,-6871.622347032269
9,10.0,1e-07,-8230.235033946286
9,10.0,1e-08,-5061.835507058749
10,0.01,1e-05,-25255.443555091573
10,0.01,1e-06,0.12875712271406403
10,0.01,1e-07,0.1286826383457783
10,0.01,1e-08,0.1286414616175997
10,0.1,1e-05,0.13383414075436373
10,0.1,1e-06,0.13378685181342723
10,0.1,1e-07,0.13375209006502187
10,0.1,1e-08,0.13372887006492087
10,0.5,1e-05,0.32310970382624465
10,0.5,1e-06,0.32524711723342253
10,0.5,1e-07,0.3264130261832823
10,0.5,1e-08,0.3271429228421801
10,1.0,1e-05,5.335984660448324
10,1.0,1e-06,5.439420303411126
10,1.0,1e-07,5.439420303411126
10,1.0,1e-08,5.439420303411126
10,2.0,1e-05,-3955.6745249849478
10,2.0,1e-06,-3955.6745249849478
10,2.0,1e-07,597386.1811143395
10,2.0,1e-08,597386.1811143395
10,5.0,1e-05,-2635.951208808292
10,5.0,1e-06,-2635.951208808292
10,5.0,1e-07,-2635.951208808292
10,5.0,1e-08,-2635.951208808292
10,10.0,1e-05,0.3684687925606664
10,10.0,1e-06,0.3684687925606664
10,10.0,1e-07,0.3684687925606664
10,10.0,1e-08,0.3684687925606664
