Beta,Tau_Mix,E_Steady,E_Analytical,Error
0.1,0.8076656225169504,-0.9440762010151268,-0.09966799462495582,0.844408206390171
0.5,0.18182300872708726,-0.9999943294386472,-0.46211715726000974,0.5378771721786375
1.0,0.49989051259170375,-0.9688128048777901,-0.7615941559557649,0.20721864892202524
1.5,0.8354655452728159,-0.03859592384763092,-0.9051482536448665,0.8665523297972356
2.0,,-9.592751577605948e-05,-0.9640275800758169,0.9639316525600409
2.5,,-3.2189191644816486e-08,-0.9866142981514303,0.9866142659622387
